"ensembl_gene_id"	"hgnc_symbol"	"entrezgene"
"130"	"ENSG00000171033"	"PKIA"	5569
"131"	"ENSG00000255490"	"EIF4A2P5"	NA
"132"	"ENSG00000232444"	""	NA
"133"	"ENSG00000255464"	"SEPT14P8"	NA
"134"	"ENSG00000136244"	"IL6"	3569
"135"	"ENSG00000005073"	"HOXA11"	3207
"136"	"ENSG00000254627"	""	NA
"137"	"ENSG00000253166"	""	NA
"138"	"ENSG00000101337"	"TM9SF4"	9777
"139"	"ENSG00000224400"	""	NA
"140"	"ENSG00000160194"	"NDUFV3"	4731
"141"	"ENSG00000267480"	""	NA
"142"	"ENSG00000253398"	""	NA
"143"	"ENSG00000106571"	"GLI3"	2737
"144"	"ENSG00000253508"	""	NA
"145"	"ENSG00000134339"	"SAA2"	6289
"146"	"ENSG00000120659"	"TNFSF11"	8600
"147"	"ENSG00000198105"	"ZNF248"	57209
"148"	"ENSG00000256626"	""	NA
"149"	"ENSG00000234267"	"TULP3P1"	NA
"150"	"ENSG00000233977"	""	NA
"151"	"ENSG00000072657"	"TRHDE"	29953
"152"	"ENSG00000231394"	""	NA
"153"	"ENSG00000261427"	""	NA
"154"	"ENSG00000007372"	"PAX6"	5080
"155"	"ENSG00000234844"	"CDC42P2"	NA
"156"	"ENSG00000161179"	"YDJC"	150223
"157"	"ENSG00000196620"	"UGT2B15"	7366
"158"	"ENSG00000272329"	""	NA
"159"	"ENSG00000278522"	"POTEB3"	102723502
"160"	"ENSG00000278522"	"POTEB3"	102724631
"161"	"ENSG00000261759"	""	NA
"162"	"ENSG00000180730"	"SHISA2"	387914
"163"	"ENSG00000103528"	"SYT17"	51760
"164"	"ENSG00000223508"	"RPL23AP53"	NA
"165"	"ENSG00000137204"	"SLC22A7"	10864
"166"	"ENSG00000231393"	""	NA
"167"	"ENSG00000137101"	"CD72"	971
"168"	"ENSG00000254104"	""	NA
"169"	"ENSG00000282091"	""	100505915
"170"	"ENSG00000272240"	""	NA
"171"	"ENSG00000172748"	"ZNF596"	169270
"172"	"ENSG00000235944"	"ZNF815P"	NA
"173"	"ENSG00000130299"	"GTPBP3"	84705
"174"	"ENSG00000114270"	"COL7A1"	1294
"175"	"ENSG00000279345"	""	NA
"176"	"ENSG00000100425"	"BRD1"	23774
"177"	"ENSG00000241738"	"ZNF90P1"	NA
"178"	"ENSG00000282978"	""	NA
"179"	"ENSG00000188257"	"PLA2G2A"	5320
"180"	"ENSG00000138468"	"SENP7"	57337
"181"	"ENSG00000267281"	""	NA
"182"	"ENSG00000185313"	"SCN10A"	6336
"183"	"ENSG00000275488"	""	NA
"184"	"ENSG00000170653"	"ATF7"	11016
"185"	"ENSG00000111678"	"C12orf57"	113246
"186"	"ENSG00000228850"	"CDY12P"	NA
"187"	"ENSG00000179428"	""	541472
"188"	"ENSG00000266613"	"RFWD2P1"	NA
"189"	"ENSG00000232029"	"ELOCP15"	NA
